Település;Körzet
Aba;22
Abádszalók;59
Abaliget;72
Abasár;37
Abda;96
Ábrahámhegy;87
Acsa;27
Acsád;94
Ádánd;84
Agárd;(Gárdony);22
Ágasegyháza;76
Ágfalva;99
Agyagosszergény;99
Ajka;88
Akasztó;78
Alacska;48
Albertirsa;20
Alcsútdoboz;22
Algyõ (Szeged);62
Alibánfa;92
Almamellék;70
Almáskeresztúr;70
Álmosd;52
Alsóbélatelep (Fonyód);85
Alsóberecki;41
Alsógöd (Göd);27
Alsónémedi;24
Alsónemesapáti;92
Alsóörs;86
Alsószenterzsébet;92
Alsószentmárton;72
Alsózsolca;46
Andornaktálya;36
Andrásfa;94
Apc;38
Aranyosgadány;72
Arnót;46
Árpás;96
Ásotthalom;62
Ásványráró;98
Aszófõ;86
Áta;72
Atkár;37
Attala;74
Babarcszõlõs;72
Bábolna;34
Bábonymegyer;84
Babosdöbréte;92
Babót;97
Badacsonytomaj;87
Badacsonytördemic;87
Bagamér;52
Badlad;92
Badod;92
Baj;34
Baja;79
Bajna;33
Bajót;33
Bak;92
Bakóca;72
Bakonya;72
Baks;64
Baksa;72
Baktalórántháza;42
Baktüttös;92
Balassagyarmat;35
Balástya;62
Balatonakali;86
Balatonakarattya;80
Balatonalmádi;80
Balatonberény;85
Balatonboglár;85
Balatoncsicsó;87
Balatonederics;87
Balatonendréd;84
Balatonfenyves;85
Balatonfõkajár;80
Balatonföldvár;84
Balatonfüred;86
Balatonfûzfõ;80
Balatonhenye;87
Balatonkenese;80
Balatonkeresztúr;85
Balatonkiliti;84
Balatonlelle;85
Balatonmáriafürdõ;85
Balatonöszöd;84
Balatonrendes;87
Balatonszabadi;84
Balatonszárszó;84
Balatonszemes;84
Balatonszentgyörgy;85
Balatonszepezd;87
Balatonszõlõs;86
Balatonudvari;86
Balatonújlak;85
Balatonvilágos;84
Balf (Sopron);99
Ballószög;76
Balmazújváros;52
Balogunyom;94
Bálványos;84
Bana;34
Bánd;80
Bánfa;70
Baracska;22
Barlahida;92
Barnag;80
Basal;70
Bátaapáti;74
Baté;82
Bátmonostor;79
Bátonyterenye;32
Bazsi;87
Becsvölgye;92
Bekecs;41
Békés;66
Békéscsaba;66
Békésszentandrás;67
Bélapátfalva;36
Bélmegyer;66
Belsõsárd;92
Bérbaltavár;94
Berekfürdõ (Karcag);59
Berhida;80
Bernecebaráti;27
Berzék;46
Besenyõtelek;39
Bezenye;98
Bezeréd;92
Biatorbágy;23
Bicsérd;70
Bicske;22
Bikács;75
Biri;42
Birján;72
Bisse;72
Bocfölde;92
Bócsa;78
Boda;70
Bodmér;22
Bodolyabér;72
Bodonhely;96
Bodony;36
Bodorfa;87
Bodroghalom;41
Bodrogolaszi;41
Bogács;40
Bogád;72
Bogdása;70
Bogyiszló;74
Bokod;34
Boldog;38
Boldogasszonyfa;70
Bolhás;83
Boncodfölde;92
Bonyhád;74
Bordány;62
Borjád;74
Borsodszirák;48
Bosta;72
Botykapeterd;70
Bozzai;94
Bozsok;94
Bõ;94
Bõcs;46
Böde;92
Bödeháza;92
Bölcske;75
Bõnyrétalap;96
Börcs;96
Börzsönyliget;27
Bõszénfa;82
Bucsu;94
Bucsuszentlászló;92
Budajenõ;26
Budakalász;26
Budakeszi;1
Budaörs;1
Budapest;1
Bugac;76
Bugacpusztaháza;76
Bük;94
Bükkábrány;40
Bükkaranyos;46
Bükkösd;70
Bükkszenterzsébet;36
Bükkszentkereszt;46
Bükkszentlászló (Miskolc);46
Bükkszentmárton;36
Bükkzsérc;40
Bürüs;70
Büssü;82
Cák;94
Cegléd;20
Chernelházadamonya;94
Csabacsûd;67
Csabdi;22
Csabrendek;78
Csáfordjánosfa;99
Csajág;80
Csákvár;22
Csapod;99
Csárdaszállás;66
Csarnóta;72
Császártöltés;78
Csátalja;79
Csatár;92
Csebény;70
Csehi;94
Csehimindszent;94
Csempeszkopács;94
Csengele;62
Csenger;44
Csengersima;44
Csengerújfalu;44
Csengõd;78
Csepreg;94
Csér;99
Cserdi;70
Cserénfa;82
Cserépváralja;40
Cserépfalu;40
Cserkút;72
Csertalakos;92
Csertõ;70
Csesztreg;92
Csibrák;74
Csikóstõttõs;74
Csipkerek;94
Csobánka;26
Csoma;82
Csomád;27
Csongrád;63
Csonkahegyhát;92
Csonkamindszent;70
Csopak;86
Csór;22
Csöde;92
Csömödér;92
Csömör;1
Csõsz;22
Csõvár;27
Dabronc;87
Dad;34
Dalmand;74
Darnózseli;98
Dávod;79
Debrecen;52
Délegyháza;24
Dencsháza;70
Deszk;62
Detk;37
Dinnyeberki;70
Diósberény;74
Diósd;1
Diósviszló;72
Dobogókõ (Pilisszentkereszt);26
Doboz;66
Dobri;92
Dobronhegy;92
Dobsza;70
Dóc;62
Domaszék;62
Dombóvár;74
Domoszló;37
Dormánd;39
Dorog;33
Dorogháza;32
Dozmat;94
Dömös;33
Dörgicse;86
Drávacsehi;72
Drávacsepely;72
Drávafok;70
Drávakeresztúr;70
Drávapalkonya;72
Drávaszabolcs;72
Drávaszerdahely;72
Drégelypalánk;35
Dunaalmás;34
Dunabogdány;26
Dunaharaszti;24
Dunakeszi;27
Dunakiliti;98
Dunaremete;98
Dunaszeg;96
Dunaszentgyörgy;75
Dunaszentmiklós;34
Dunaszentpál;96
Dunasziget;98
Dunaújváros;25
Dunavarsány;26
Dúzs;74
Ebergõc;99
Ebes;52
Écs;96
Edelény;48
Eger;36
Egerág;72
Egerbakta;36
Egerfarmos;39
Egerszalók;36
Egerszólát;36
Egervár;92
Egervölgy;94
Egyházasfalu;99
Egyházasharaszti;72
Elek;66
Emõd;46
Encs;41
Encsencs;42
Endrõc;70
Enese;96
Enying;22
Érd;23
Erdõkövesd;36
Esztergom;33
Etyek;22
Fácánkert;74
Fadd;74
Fedémes;36
Feketeerdõ;98
Felcsút;22
Felgyõ;63
Felpéc;96
Felsõberecki;41
Felsõcsatár;94
Felsõegerszeg;72
Felsõgöd (Göd);27
Felsõlajos;76
Felsõnána;74
Felsõörs;86
Felsõszenterzsébet;92
Felsõszentmárton;70
Felsõtárkány;36
Felsõzsolca;46
Fertõboz;99
Fertõd;99
Fertõendréd;99
Fertõhomok;99
Fertõrákos;99
Fertõszentmiklós;99
Fertõszéplak;99
Fonó;82
Fonyód;85
Forráskút;62
Fót;27
Fönyed;85
Füle;22
Fülöpháza;76
Fülöpjakab;76
Fülöpszállás;78
Fülpösdaróc;44
Füzesabony;39
